Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.7526E-06,-9.4112E-09,-0.022677,0,0,0,9.7351,0.019748,8.0968E-08,-3.6621E-08,0.024721,-3.3199E-08,0.023329,0,0,0,0,0,0,package://dyHR01A3/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dyHR01A3/meshes/base_link.STL,,DY0003_ASM-1/0028-1;DY0003_ASM-1/V0001-1;DY0003_ASM-1/IMU00-1;DY0003_ASM-1/IMU-1;DY0003_ASM-1/DY102-65II-25-3;DY0003_ASM-1/DY150-87-25-2;DY0003_ASM-1/DY150-87-25-1,base link cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch,0.004076,0.026015,-6.8657E-05,0,0,0,0.44169,0.00071132,0.00016634,-4.2053E-07,0.00062797,5.5562E-07,0.00069617,0,0,0,0,0,0,package://dyHR01A3/meshes/left_hip_pitch.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dyHR01A3/meshes/left_hip_pitch.STL,,DY0003_ASM-1/L120002-2;DY0003_ASM-1/L110001-2,left hip pitch cs,left hip pitch a,left_hip_pitch,revolute,0,0.098294,-0.05675,-0.5236,0,0,base_link,0,1,0,500,9.21,-2.62,2.62,,,,,,,,
left_hip_roll,0.0035724,2.2246E-05,-0.0045952,0,0,0,1.7899,0.0020745,-6.5553E-08,1.0234E-05,0.002176,-1.4101E-07,0.0020402,0,0,0,0,0,0,package://dyHR01A3/meshes/left_hip_roll.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dyHR01A3/meshes/left_hip_roll.STL,,DY0003_ASM-1/DY95-85-2110001-3;DY0003_ASM-1/10019-2,left hip roll cs,left hip roll a,left_hip_roll,revolute,0,0.0555,0,0.5236,0,0,left_hip_pitch,1,0,0,200,8.9,-0.17,1.92,,,,,,,,
left_hip_yaw,-0.00026865,0.0091811,-0.13143,0,0,0,7.2347,0.031549,-2.8156E-05,-0.00028329,0.03888,0.0002923,0.014275,0,0,0,0,0,0,package://dyHR01A3/meshes/left_hip_yaw.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dyHR01A3/meshes/left_hip_yaw.STL,,DY0003_ASM-1/DY102-65II-25_MIR-1;DY0003_ASM-1/_MIR0003-3;DY0003_ASM-1/GE10C_MIR-1;DY0003_ASM-1/_MIR0013-1;DY0003_ASM-1/L4_MIR0002-1;DY0003_ASM-1/DY150-87-25_MIR-1;DY0003_ASM-1/1_MIR0001-1;DY0003_ASM-1/_MIR0003-1;DY0003_ASM-1/GE10C_MIR-2;DY0003_ASM-1/_MIR0003-4;DY0003_ASM-1/GE10C_MIR-4;DY0003_ASM-1/_MIR0013-2;DY0003_ASM-1/_MIR0003-2;DY0003_ASM-1/GE10C_MIR-3;DY0003_ASM-1/_MIR0012-1;DY0003_ASM-1/1_MIR0002-1,left hip yaw cs,left hip yaw a,left_hip_yaw,revolute,0,0,-0.071,0,0,0,left_hip_roll,0,0,1,200,8.37,-1.57,1.57,,,,,,,,
left_knee,0.020464,-0.0022982,-0.15478,0,0,0,2.479,0.02065,-1.8434E-05,-0.00045561,0.022096,-0.00054832,0.0023508,0,0,0,0,0,0,package://dyHR01A3/meshes/left_knee.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dyHR01A3/meshes/left_knee.STL,,DY0003_ASM-1/1_MIR0004-1;DY0003_ASM-1/DY102-65II-25_MIR-2;DY0003_ASM-1/1_MIR0007-1;DY0003_ASM-1/1_MIR0008-1;DY0003_ASM-1/GE8C_MIR00-1;DY0003_ASM-1/_MIR0010-1;DY0003_ASM-1/GE8C_MIR00-2;DY0003_ASM-1/_MIR0009-1;DY0003_ASM-1/2_MIR0002-1,left knee cs,left knee a,left_knee,revolute,-0.02,0,-0.3358,0,0,0,left_hip_yaw,0,1,0,500,9.21,0,2.62,,,,,,,,
left_ankle_pitch,-0.0063228,-0.00022052,0.00010909,0,0,0,0.77962,0.0004865,-6.3361E-07,5.2241E-07,0.00055514,-2.9486E-06,0.0005616,0,0,0,0,0,0,package://dyHR01A3/meshes/left_ankle_pitch.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dyHR01A3/meshes/left_ankle_pitch.STL,,DY0003_ASM-1/1_MIR0006-1;DY0003_ASM-1/DY68-65-25_MIR0001-1,left ankle pitch roll cs,left ankle pitch a,left_ankle_pitch,revolute,0.02,0,-0.42,0,0,0,left_knee,0,1,0,200,8.79,-0.87,0.52,,,,,,,,
left_ankle_roll,0.032699,-0.00053816,-0.02097,0,0,0,0.8955,0.00066884,-3.0894E-06,0.00023685,0.00098822,-4.3203E-07,0.0010773,0,0,0,0,0,0,package://dyHR01A3/meshes/left_ankle_roll.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dyHR01A3/meshes/left_ankle_roll.STL,,DY0003_ASM-1/_MIR0006-1;DY0003_ASM-1/_MIR0005-1;DY0003_ASM-1/DY45-45-251_MIR-1,left ankle pitch roll cs,left ankle roll a,left_ankle_roll,revolute,0,0,0,0,0,0,left_ankle_pitch,1,0,0,30,12.56,-0.61,0.61,,,,,,,,
left_toe,0.021804,-0.00056994,-0.022131,0,0,0,0.46632,0.00041042,5.3224E-05,-9.1409E-06,0.00068763,-3.7452E-05,0.00090529,0,0,0,0,0,0,package://dyHR01A3/meshes/left_toe.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dyHR01A3/meshes/left_toe.STL,,DY0003_ASM-1/_MIR000-1;DY0003_ASM-1/_MIR0008-1,left toe cs,left toe a,left_toe,revolute,0.080534,0,-0.011771,0,0,0,left_ankle_roll,0,1,0,30,12.56,-0.35,0.35,,,,,,,,
right_hip_pitch,0.0040759694114764,-0.0260144752481777,6.86491409210843E-05,0,0,0,0.441686744626298,0.000711312189166181,-0.000166342885864341,4.1174332477766E-07,0.000627956456856946,5.51734538094739E-07,0.000696163060386,0,0,0,0,0,0,package://dyHR01A3/meshes/right_hip_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dyHR01A3/meshes/right_hip_pitch.STL,,DY0003_ASM-1/L110001-1;DY0003_ASM-1/L120002-1,right hip pitch cs,right hip pitch a,right_hip_pitch,revolute,0,-0.098294,-0.05675,0.5236,0,0,base_link,0,1,0,500,9.21,-2.62,2.62,,,,,,,,
right_hip_roll,0.00357241336391693,-2.08041706899476E-05,-0.00459515165123509,0,0,0,1.78991586985551,0.00207451084707279,-6.55323786050409E-08,1.02342064374011E-05,0.00217602161132053,1.69532042402998E-07,0.00204023973452806,0,0,0,0,0,0,package://dyHR01A3/meshes/right_hip_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dyHR01A3/meshes/right_hip_roll.STL,,DY0003_ASM-1/DY95-85-2110001-2;DY0003_ASM-1/10019-1,right hip roll cs,right hip roll a,right_hip_roll,revolute,0,-0.0555,0,-0.5236,0,0,right_hip_pitch,1,0,0,200,8.9,-1.92,0.17,,,,,,,,
