Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.011248,-2.1914E-07,-0.075064,0,0,0,10.486,0.019839,4.1932E-05,-5.7455E-08,0.025087,1.1042E-08,0.023887,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/base_link.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/base_link.STL,,V0001URDF-1;DY150-87-25URDF-2;DY150-87-25URDF-1;IMU00URDF-1;PCB0001URDF-1;0014URDF-1;DY102-65II-25XURDF-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch,0.0019673,0.033633,0.00017464,0,0,0,0.53849,0.00084456,0.00019691,-3.2468E-07,0.00074564,4.2259E-07,0.00082473,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/left_hip_pitch.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/left_hip_pitch.STL,,L120001URDF-2;0016URDF-2;L110001URDF-2,left_hip_pitch2,left_hip_pitch1,left_hip_pitch,revolute,0.01125,0.094397,-0.10771,-0.5236,0,0,base_link,0,1,0,500,9.21,-2.62,2.62,,,,,,,,
left_hip_roll,0.0011241,-4.7265E-06,-0.013441,0,0,0,2.2321,0.0024755,2.9006E-07,2.3258E-06,0.0025446,8.4186E-08,0.0022463,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/left_hip_roll.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/left_hip_roll.STL,,DY95-85-2110001URDF-2;S3_MIR0001URDF-1,left_hip_roll2,left_hip_roll1,left_hip_roll,revolute,0,0.064,0,0.5236,0,0,left_hip_pitch,1,0,0,200,8.9,-0.17,1.92,,,,,,,,
left_hip_yaw,0.000937797701423743,0.0102171454824536,-0.131501577279948,0,0,0,7.21772494494898,0.0259196918783784,2.07773772821087E-05,-0.00018137025555676,0.0325485378751322,-0.000364767595402525,0.0125599084689579,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/left_hip_yaw.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/left_hip_yaw.STL,,DY102-65II-25XURDF-6;S1_MIR0001URDF-1;DY150-87-25URDF-4;L4_MIR0002URDF-1;_MIR0007URDF-1;_MIR0007URDF-2,left_hip_yaw2,left_hip_yaw1,left_hip_yaw,revolute,0,0,-0.1305,0,0,0,left_hip_roll,0,0,1,200,9.21,-2.09,2.09,,,,,,,,
left_knee_pitch,0.018914,-0.0016773,-0.18316,0,0,0,3.4242,0.042021,-2.2414E-05,-0.00016913,0.043892,0.00024936,0.0026329,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/left_knee_pitch.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/left_knee_pitch.STL,,S_MIR0001URDF-1;_MIR0006URDF-1;DY-SHR-V2_MIR0002URDF-1;DY-SHR-V2_MIR0001URDF-1;DY102-65II-25XURDF-7;1_MIR0001URDF-1,left_knee_pitch2,left_knee_pitch1,left_knee_pitch,revolute,-0.02,0,-0.33533,0,0,0,left_hip_yaw,0,1,0,500,9.21,0,2.62,,,,,,,,
left_ankle_pitch,0.0182943248287836,-2.55559216344459E-07,-0.032992321136978,0,0,0,1.10192494755014,0.000769591606184083,-1.6713505480898E-08,-0.000330055148831244,0.0055312303358263,1.70009294881758E-09,0.00575428932461641,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/left_ankle_pitch.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/left_ankle_pitch.STL,,_MIR0004URDF-1,left_ankle_pitch2,left_ankle_pitch1,left_ankle_pitch,revolute,0.02,0,-0.46,0,0,0,left_knee_pitch,0,1,0,58,8.37,-0.87,0.52,,,,,,,,
right_hip_pitch,0.0019673,-0.033633,-0.00017467,0,0,0,0.53849,0.00084456,-0.00019691,3.2465E-07,0.00074564,4.2255E-07,0.00082473,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/right_hip_pitch.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/right_hip_pitch.STL,,L120001URDF-1;L110001URDF-1;0016URDF-1,right_hip_pitch2,right_hip_pitch1,right_hip_pitch,revolute,0.01125,-0.094397,-0.10771,0.5236,0,0,base_link,0,1,0,500,9.21,-2.62,2.62,,,,,,,,
right_hip_roll,0.0011240927244425,-4.72638515575108E-06,-0.0134413323038222,0,0,0,2.23213187166329,0.00247548947978786,2.90052554670847E-07,2.32582989389773E-06,0.0025446073275557,8.41772679778694E-08,0.00224625488656837,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/right_hip_roll.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/right_hip_roll.STL,,DY95-85-2110001URDF-1;S30002URDF-1,right_hip_roll2,right_hip_roll1,right_hip_roll,revolute,0,-0.064,0,-0.5236,0,0,right_hip_pitch,1,0,0,200,8.9,-1.92,0.17,,,,,,,,
right_hip_yaw,0.000942917727632117,-0.0102171685578334,-0.131312259313443,0,0,0,7.21769238445386,0.0259186175089488,-2.20862569137468E-05,-0.000174512456088173,0.0325478606082448,0.000314933949233077,0.0125602257104221,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/right_hip_yaw.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/right_hip_yaw.STL,,DY102-65II-25XURDF-4;S10007URDF-1;DY150-87-25URDF-3;L40001URDF-1;0023URDF-1;0023URDF-2,right_hip_yaw2,right_hip_yaw1,right_hip_yaw,revolute,0,0,-0.1305,0,0,0,right_hip_roll,0,0,1,200,9.21,-2.09,2.09,,,,,,,,
right_knee_pitch,0.018927,0.0016773,-0.18316,0,0,0,3.4242,0.042021,2.2413E-05,-0.00016907,0.043893,-0.00024937,0.0026329,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/right_knee_pitch.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/right_knee_pitch.STL,,S0007URDF-1;10003URDF-1;0022URDF-1;DY-SHR-V20002URDF-1;DY-SHR-V20001URDF-1;DY102-65II-25XURDF-5,right_knee_pitch2,right_knee_pitch1,right_knee_pitch,revolute,-0.02,0,-0.33533,0,0,0,right_hip_yaw,0,1,0,500,9.21,0,2.62,,,,,,,,
right_ankle_pitch,0.018292866437236,-6.30988874483762E-08,-0.0329922231042681,0,0,0,1.20521504618851,0.000841738437712328,1.23745160048345E-09,-0.000360981468178318,0.00604959249709288,-1.19225434828989E-09,0.00629355882192457,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/right_ankle_pitch.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/right_ankle_pitch.STL,,0021URDF-1,right_ankle_pitch2,right_ankle_pitch1,right_ankle_pitch,revolute,0.02,0,-0.46,0,0,0,right_knee_pitch,0,1,0,58,8.37,-0.87,0.52,,,,,,,,
waist_yaw,-2.1939E-05,1.1923E-08,0.038392,0,0,0,0.41636,0.00046543,-2.5582E-12,6.3462E-08,0.00046509,6.7275E-11,0.00053035,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/waist_yaw.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://足式双臂机器人（竞速版）CURDF/meshes/waist_yaw.STL,,S0005URDF-1;S10006URDF-1,waist_yaw2,waist_yaw1,waist_yaw,revolute,0.01125,0,0.0328,0,0,0,base_link,0,0,1,200,9.21,-1.57,1.57,,,,,,,,
