Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00019951136892623,5.67323118957546E-08,0.0193779508406753,0,0,0,3.27456147385346,0.0036072911799357,-1.60573415928455E-09,9.08593473815444E-06,0.00434293654234843,9.54212320346629E-09,0.00306940247948114,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/base_link.STL,,DY-S1-200-000 小人形下肢URDFA-1/DY-S1-200-001-A 髋1关节固定件URDFA-1;DY-S1-200-000 小人形下肢URDFA-1/DY102-65II-25URDFA-1;DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-200-015-AL 髋1关节左零位定位块URDFA-11;DY-S1-200-000 小人形下肢URDFA-1/DY102-65II-25URDFA-3;DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-200-015-AR 髋1关节右零位定位块URDFA-3;DY-S1-200-000 小人形下肢URDFA-1/DY68-C0-C0URDFA-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch,-0.00715705916089216,0.0646996093406191,3.17300076316807E-05,0,0,0,1.14017901511051,0.000835738481106357,-1.04237523929236E-05,-1.49550868057343E-06,0.00084082326667669,3.48444715201436E-08,0.000892978757164391,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_hip_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_hip_pitch.STL,,DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-200-004-A 髋1关节法兰URDFA-4;DY-S1-200-000 小人形下肢URDFA-1/DY78-C1-C0URDFA-2/78中段定制c1.prt.prt-1;DY-S1-200-000 小人形下肢URDFA-1/DY78-C1-C0URDFA-2/DY78-65-25V2标准关节模组URDFA-1,left_hip_pitch c,left_hip_pitch a,left_hip_pitch,revolute,0,0.080557,-0.014204,-0.17453,0,0,base_link,0,1,0,200,9.21,-3.05,2.09,,,,,,,,
left_hip_roll,0.016031,7.1364E-06,-0.028115,0,0,0,0.25017,0.00031811,-1.9768E-07,6.5032E-05,0.00031097,-3.2223E-08,0.00029325,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_hip_roll.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_hip_roll.STL,,DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-200-006-A 髋2关节法兰URDFA-6,left_hip_roll c,left_hip_roll a,left_hip_roll,revolute,0,0.0695,0,0.17453,0,0,left_hip_pitch,1,0,0,80,8.9,-0.44,3.05,,,,,,,,
left_hip_yaw,-0.000384245241878676,-4.9084023391599E-06,-0.102738807012011,0,0,0,1.29458216827645,0.00151703578333984,1.33721115845431E-05,8.88602925771216E-06,0.00148303723005807,4.12142934484475E-05,0.000717074296321393,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_hip_yaw.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_hip_yaw.STL,,DY-S1-200-000 小人形下肢URDFA-1/DY68-C0-C2URDFA-2/DY68-C0-C0URDFA-1;DY-S1-200-000 小人形下肢URDFA-1/DY-S1-200-017-A 大腿URDFA-2;DY-S1-200-000 小人形下肢URDFA-1/DY68-C0-C2URDFA-2/68后盖定制c2.prt.prt-1;DY-S1-200-000 小人形下肢URDFA-1/DY-S1-201-000-AL 左膝关节固定件URDFA-1,left_hip_yaw cs,left_hip_yaw a,left_hip_yaw,revolute,0,0,-0.058,0,0,0,left_hip_roll,0,0,1,58,8.37,-2.53,2.53,,,,,,,,
left_knee,0.0067457,-0.00089165,-0.094514,0,0,0,1.8996,0.0041542,4.035E-06,-1.9332E-05,0.0041045,5.3878E-05,0.0013739,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_knee.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_knee.STL,,DY-S1-200-000 小人形下肢URDFA-1/DY78-C3-C1URDFA-1/DY78-65-25V2标准关节模组URDFA-1;DY-S1-200-000 小人形下肢URDFA-1/DY78-C3-C1URDFA-1/78后盖定制c1.prt.prt-2;DY-S1-200-000 小人形下肢URDFA-1/DY78-C3-C1URDFA-1/78中段定制c3.prt.prt-1;DY-S1-200-000 小人形下肢URDFA-1/DY-S1-200-018-A 小腿URDFA-2;DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-202-000-A 踝1关节固定件URDFA-2,left_knee c,left_knee a,left_knee,revolute,-0.015,0,-0.305,0,0,0,left_hip_yaw,0,1,0,80,9.21,-0.05,2.36,,,,,,,,
left_ankle_pitch,-0.00040345,-0.001277,-0.045031,0,0,0,1.7329,0.0010844,-4.2849E-08,7.2278E-07,0.001081,-1.7939E-06,0.0011054,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_ankle_pitch.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_ankle_pitch.STL,,DY-S1-200-000 小人形下肢URDFA-1/DY68-C3-C1URDFA-2/DY68-C0-C0URDFA-1;DY-S1-200-000 小人形下肢URDFA-1/DY68-C3-C1URDFA-2/68中段定制c3.prt.prt-1;DY-S1-200-000 小人形下肢URDFA-1/DY68-C3-C1URDFA-2/68后盖定制c1.prt.prt-2;DY-S1-200-000 小人形下肢URDFA-1/DY68-C2-C1URDFA-2/68中段定制c2.prt.prt-1;DY-S1-200-000 小人形下肢URDFA-1/DY68-C2-C1URDFA-2/DY68-C0-C0URDFA-1;DY-S1-200-000 小人形下肢URDFA-1/DY68-C2-C1URDFA-2/68后盖定制c1.prt.prt-1,left_ankle_pitch c,left_ankle_pitch a,left_ankle_pitch,continuous,0.015,0,-0.363,0,0,0,left_knee,0,1,0,58,8.79,-1.57,1.57,,,,,,,,
left_ankle_roll,0.0510619339131326,8.56094706236377E-08,-0.0272647627009652,0,0,0,0.394594686839577,0.000232192263757283,-1.81763797305939E-10,-1.78010580349094E-05,0.000494853213188644,7.91940959672644E-10,0.00065960720056184,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_ankle_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/left_ankle_roll.STL,,DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-200-008-A 踝2关节后固定件URDFA-2;DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-200-016-A 脚掌URDFA-5;DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-200-009-A 踝2关节前固定件URDFA-2;DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-200-011-A 连接轴URDFA-7;DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-200-010-A 前脚掌连接件URDFA-5;DY-S1-200-000 小人形下肢URDFA-1/GEC 8 UK 关节轴承URDFA-3;DY-S1-200-000 小人形下肢URDFA-1/GEC 8 UK 关节轴承URDFA-4,left_ankle_roll c,left_ankle_roll a,left_ankle_roll,revolute,0,0,-0.09,0,0,0,left_ankle_pitch,1,0,0,58,8.79,-1.13,1.13,,,,,,,,
right_hip_pitch,-0.0071571,-0.0647,-3.1737E-05,0,0,0,1.1402,0.00083574,1.0424E-05,1.4955E-06,0.00084082,3.4847E-08,0.00089298,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_hip_pitch.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_hip_pitch.STL,,DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-200-004-A 髋1关节法兰URDFA-2;DY-S1-200-000 小人形下肢URDFA-1/DY78-C1-C0URDFA-1/78中段定制c1.prt.prt-1;DY-S1-200-000 小人形下肢URDFA-1/DY78-C1-C0URDFA-1/DY78-65-25V2标准关节模组URDFA-1,right_hip_pitch c,right_hip_pitch a,right_hip_pitch,revolute,0,-0.080557,-0.014204,0.17453,0,0,base_link,0,1,0,200,9.21,-3.05,2.09,,,,,,,,
right_hip_roll,0.0160310725924695,6.86547169362339E-06,-0.0281152883906814,0,0,0,0.250166413948034,0.000318108833006875,-1.97055944039234E-07,6.50324271020606E-05,0.000310974110868377,-3.20524747480676E-08,0.00029325405757293,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_hip_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_hip_roll.STL,,DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-200-006-A 髋2关节法兰URDFA-7,right_hip_roll c,right_hip_roll a,right_hip_roll,revolute,0,-0.0695,0,-0.17453,0,0,right_hip_pitch,1,0,0,80,8.9,-3.05,0.44,,,,,,,,
right_hip_yaw,-0.00038425,5.8823E-07,-0.10274,0,0,0,1.2946,0.001517,-1.3455E-05,8.8858E-06,0.001483,-4.1231E-05,0.00071708,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_hip_yaw.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_hip_yaw.STL,,DY-S1-200-000 小人形下肢URDFA-1/DY68-C0-C2URDFA-1/DY68-C0-C0URDFA-1;DY-S1-200-000 小人形下肢URDFA-1/DY-S1-200-017-A 大腿URDFA-1;DY-S1-200-000 小人形下肢URDFA-1/DY68-C0-C2URDFA-1/68后盖定制c2.prt.prt-1;DY-S1-200-000 小人形下肢URDFA-1/DY-S1-201-000-AR 右膝关节固定件URDFA-1,right_hip_yaw c,right_hip_yaw a,right_hip_yaw,revolute,0,0,-0.058,0,0,0,right_hip_roll,0,0,1,58,8.37,-2.53,2.53,,,,,,,,
right_knee,0.00672542264861498,0.000891472628724577,-0.0945137555277278,0,0,0,1.89955255548556,0.00415418151369223,-9.6003169220855E-07,-1.93408514345973E-05,0.00410449056432193,-5.38777927772101E-05,0.00137388222039372,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_knee.STL,1,1,1,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_knee.STL,,DY-S1-200-000 小人形下肢URDFA-1/DY-S1-200-018-A 小腿URDFA-1;DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-202-000-A 踝1关节固定件URDFA-1;DY-S1-200-000 小人形下肢URDFA-1/DY78-C2-C1URDFA-1/DY78-65-25V2标准关节模组URDFA-1;DY-S1-200-000 小人形下肢URDFA-1/DY78-C2-C1URDFA-1/78中段定制c2.prt.prt-1;DY-S1-200-000 小人形下肢URDFA-1/DY78-C2-C1URDFA-1/78后盖定制c1.prt.prt-1,right_knee c,right_knee a,right_knee,revolute,-0.015,0,-0.305,0,0,0,right_hip_yaw,0,1,0,80,9.21,-0.05,2.36,,,,,,,,
right_ankle_pitch,-0.000413748555119873,0.00126623245534177,-0.0450310150971605,0,0,0,1.73291274076568,0.00108441374339894,-4.28423772110033E-08,8.27962862956814E-07,0.00108104255962684,1.72905556009331E-06,0.00110544164881788,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_ankle_pitch.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_ankle_pitch.STL,,DY-S1-200-000 小人形下肢URDFA-1/DY68-C3-C1URDFA-1/DY68-C0-C0URDFA-1;DY-S1-200-000 小人形下肢URDFA-1/DY68-C3-C1URDFA-1/68中段定制c3.prt.prt-1;DY-S1-200-000 小人形下肢URDFA-1/DY68-C3-C1URDFA-1/68后盖定制c1.prt.prt-2;DY-S1-200-000 小人形下肢URDFA-1/DY68-C2-C1URDFA-1/68中段定制c2.prt.prt-1;DY-S1-200-000 小人形下肢URDFA-1/DY68-C2-C1URDFA-1/68后盖定制c1.prt.prt-1;DY-S1-200-000 小人形下肢URDFA-1/DY68-C2-C1URDFA-1/DY68-C0-C0URDFA-1,right_ankle_pitch c,right_ankle_pitch a,right_ankle_pitch,revolute,0.015,0,-0.363,0,0,0,right_knee,0,1,0,58,8.79,-1.57,1.57,,,,,,,,
right_ankle_roll,0.051061844881282,-1.37195683702629E-07,-0.0272647744796621,0,0,0,0.394595119800388,0.000232192861482193,-1.15881037794132E-09,-1.78010580135095E-05,0.000494854104729994,-7.95923492440591E-10,0.000659608688745338,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_ankle_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DY-S1-000 小人形机器人S1URDFC/meshes/right_ankle_roll.STL,,DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-200-009-A 踝2关节前固定件URDFA-1;DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-200-010-A 前脚掌连接件URDFA-4;DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-200-008-A 踝2关节后固定件URDFA-1;DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-200-011-A 连接轴URDFA-6;DY-S1-200-000 小人形下肢URDFA-1/GEC 8 UK 关节轴承URDFA-1;DY-S1-200-000 小人形下肢URDFA-1/DY-CR2-200-016-A 脚掌URDFA-4;DY-S1-200-000 小人形下肢URDFA-1/GEC 8 UK 关节轴承URDFA-2,right_ankle_roll c,right_ankle_roll a,right_ankle_roll,revolute,0,0,-0.09,0,0,0,right_ankle_pitch,1,0,0,58,8.79,-1.13,1.13,,,,,,,,
